DATE,AvgTemp
11-07-2014,48
11-08-2014,46
11-09-2014,48
11-10-2014,51
11-11-2014,50
11-12-2014,49
11/13/2014,48
11/14/2014,46
11/15/2014,44
11/16/2014,47
11/17/2014,50
11/18/2014,47
11/19/2014,47
11/20/2014,45
11/21/2014,47
11/22/2014,46
11/23/2014,43
11/24/2014,50
11/25/2014,51
11/26/2014,48
11/27/2014,48
11/28/2014,47
11/29/2014,45
11/30/2014,43
12-01-2014,44
12-02-2014,43
12-03-2014,45
12-04-2014,47
12-05-2014,45
12-06-2014,44
12-07-2014,46
12-08-2014,48
12-09-2014,48
12-10-2014,50
12-11-2014,51
12-12-2014,46
12/13/2014,47
12/14/2014,47
12/15/2014,49
12/16/2014,49
12/17/2014,48
12/18/2014,48
12/19/2014,51
12/20/2014,48
12/21/2014,44
12/22/2014,39
12/23/2014,36
12/24/2014,41
12/25/2014,47
12/26/2014,47
12/27/2014,44
12/28/2014,48
12/29/2014,45
12/30/2014,45
12/31/2014,44
01-01-2015,45
01-02-2015,37
01-03-2015,33
01-04-2015,38
01-05-2015,44
01-06-2015,45
01-07-2015,46
01-08-2015,48
01-09-2015,46
01-10-2015,43
01-11-2015,46
01-12-2015,49
1/13/2015,49
1/14/2015,47
1/15/2015,48
1/16/2015,48
1/17/2015,48
1/18/2015,47
1/19/2015,48
1/20/2015,46
1/21/2015,49
1/22/2015,47
1/23/2015,54
1/24/2015,51
1/25/2015,48
1/26/2015,51
1/27/2015,47
1/28/2015,45
1/29/2015,45
1/30/2015,45
1/31/2015,43
02-01-2015,45
02-02-2015,46
02-03-2015,48
02-04-2015,45
02-05-2015,44
02-06-2015,40
02-07-2015,43
02-08-2015,51
02-09-2015,49
02-10-2015,43
02-11-2015,44
02-12-2015,45
2/13/2015,47
2/14/2015,48
2/15/2015,44
2/16/2015,45
2/17/2015,45
2/18/2015,45
2/19/2015,47
2/20/2015,47
2/21/2015,44
2/22/2015,44
2/23/2015,47
2/24/2015,48
2/25/2015,48
2/26/2015,42
2/27/2015,42
2/28/2015,40
03-01-2015,39
03-02-2015,38
03-03-2015,40
03-04-2015,36
03-05-2015,41
